modules,go.opentelemetry.io/collector,k8s.io/kubernetes,github.com/prometheus/prometheus
go version,v1.22.0,v1.23.0,v1.22.0
github.com/docker/go-units,-,v0.5.0,v0.5.0
github.com/onsi/gomega,-,v1.35.1,-
github.com/jonboulle/clockwork,-,v0.4.0,-
github.com/vultr/govultr/v2,-,-,v2.17.2
github.com/Azure/azure-sdk-for-go/sdk/internal,-,-,v1.10.0
github.com/google/go-querystring,-,-,v1.1.0
github.com/cenkalti/backoff/v4,-,v4.3.0,v4.3.0
go.opentelemetry.io/otel/sdk,-,v1.28.0,v1.32.0
github.com/containerd/ttrpc,-,v1.2.5,-
github.com/ghodss/yaml,-,-,v1.0.0
go.opentelemetry.io/collector/pdata,-,-,v1.20.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,-,v0.53.0,-
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute/v5,-,-,v5.7.0
github.com/Microsoft/go-winio,-,v0.6.2,v0.6.1
github.com/spf13/pflag,-,v1.0.5,v1.0.5
github.com/vishvananda/netns,-,v0.0.4,-
github.com/oklog/ulid,-,-,v1.3.1
github.com/mattn/go-colorable,-,-,v0.1.13
github.com/stoewer/go-strcase,-,v1.3.0,-
gopkg.in/square/go-jose.v2,-,v2.6.0,-
github.com/lithammer/dedent,-,v1.1.0,-
github.com/prometheus/alertmanager,-,-,v0.27.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace,-,v1.28.0,v1.32.0
go.opentelemetry.io/otel/trace,-,v1.28.0,v1.32.0
github.com/ovh/go-ovh,-,-,v1.6.0
sigs.k8s.io/yaml,-,v1.4.0,v1.4.0
golang.org/x/mod,-,v0.21.0,v0.22.0
github.com/armon/circbuf,-,v0.0.0-20190214190532-5111143e8da2,-
github.com/asaskevich/govalidator,-,v0.0.0-20190424111038-f61b66f89f4a,v0.0.0-20230301143203-a9d515a09cc2
github.com/google/cel-go,-,v0.22.0,-
github.com/alecthomas/units,-,-,v0.0.0-20240626203959-61d1e3462e30
k8s.io/kms,-,v0.0.0,-
go.opentelemetry.io/otel,-,v1.28.0,v1.32.0
github.com/dennwc/varint,-,-,v1.0.0
github.com/cncf/xds/go,-,-,v0.0.0-20240905190251-b4127c9b8d78
google.golang.org/grpc,v1.68.1,v1.65.0,v1.68.1
github.com/pmezard/go-difflib,v1.0.0,v1.0.1-0.20181226105442-5d4384ee4fb2,v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/pquerna/cachecontrol,-,v0.1.0,-
k8s.io/client-go,-,v0.0.0,v0.31.3
github.com/hashicorp/serf,-,-,v0.10.1
k8s.io/cri-client,-,v0.0.0,-
github.com/google/uuid,-,v1.6.0,v1.6.0
